Unicode,Limon
្ក,á
្ខ,ç
្គ,Á
្ឃ,Ç
្ង,¶
្ច,©
្ឆ,ä
្ជ,¢
្ឈ,Ä
្ញ,Ø
្ដ,þ
្ឋ,æ
្ឌ,Ð
្ឍ,Æ
្ណ,Ñ
្ត,þ
្ថ,ß
្ទ,Þ
្ធ,§
្ន,ñ
្ប,u002c
្ផ,ö
្ព,<
្ភ,Ö
្ម,µ
្យ,ü
្រ,®
្ល,ø
្វ,V
្ស,S
្ហ,ð
្អ,¥
០,0
១,1
២,2
៣,3
៤,4
៥,5
៦,6
៧,7
៨,8
៩,9
ក,k
ខ,x
គ,K
ឃ,X
ង,g
ច,c
ឆ,q
ជ,C
ឈ,Q
ញ,j
ដ,d
ឋ,z
ឌ,D
ឍ,Z
ណ,N
ត,t
ថ,f
ទ,T
ធ,F
ន,n
ប,b
ផ,p
ព,B
ភ,P
ម,m
យ,y
រ,r
ល,l
វ,v
ស,s
ហ,h
ឡ,L
អ,G
ា,a
ិ,i
ី,I
ឹ,w
ឺ,W
ុ,u
ូ,U
ួ,Y
ើ,eI
ឿ,eO
ៀ,eo
ោ,ea
ៅ,eA
េ,e
ែ,E
ៃ,é
ឥ,\
ឦ,|
ឧ,]
ឪ,«
ឫ,b¤
ឬ,b£
ឭ,B¤
ឮ,B£
ឯ,É
ឰ,B§
ឱ,»
ឲ,[
ំ,M
ះ,H
ៈ,³
៉,:
៊,‘
់,;
៌,’
៍,_
៏,¾
័,½
។,.
ៗ,²
៛,`
